,Year,Round,Status,statusId,Count
714,2015,12,+6 Laps,16,1
715,2015,12,Collision damage,130,2
716,2015,13,Finished,1,12
717,2015,13,Collision,4,1
718,2015,13,Gearbox,6,3
719,2015,13,+2 Laps,12,2
720,2015,13,Tyre,27,1
721,2015,13,Throttle,37,1
722,2015,14,Finished,1,9
723,2015,14,+1 Lap,11,7
724,2015,14,+2 Laps,12,2
725,2015,14,+3 Laps,13,1
726,2015,14,Retired,31,1
727,2015,15,Finished,1,11
728,2015,15,Accident,3,1
729,2015,15,Collision,4,3
730,2015,15,+1 Lap,11,1
731,2015,15,+2 Laps,12,1
732,2015,15,Suspension,22,1
733,2015,15,Brakes,23,1
734,2015,15,Throttle,37,1
735,2015,16,Finished,1,12
736,2015,16,Accident,3,2
737,2015,16,Retired,31,5
738,2015,16,Brake duct,135,1
739,2015,17,Finished,1,14
740,2015,17,Accident,3,1
741,2015,17,Collision,4,1
742,2015,17,+2 Laps,12,2
743,2015,17,Brakes,23,1
744,2015,17,Retired,31,1
745,2015,18,Finished,1,4
746,2015,18,+1 Lap,11,11
747,2015,18,+2 Laps,12,1
748,2015,18,+4 Laps,14,2
749,2015,18,Retired,31,1
750,2015,18,Excluded,96,1
751,2015,19,Finished,1,11
752,2015,19,Collision,4,1
753,2015,19,+1 Lap,11,5
754,2015,19,+2 Laps,12,2
755,2015,19,+3 Laps,13,1
756,2016,1,Finished,1,13
757,2016,1,Collision,4,2
758,2016,1,Engine,5,2
759,2016,1,+1 Lap,11,3
760,2016,1,Mechanical,26,1
761,2016,1,Retired,31,1
762,2016,2,Finished,1,6
763,2016,2,Engine,5,1
764,2016,2,Hydraulics,9,1
765,2016,2,+1 Lap,11,11
766,2016,2,Retired,31,2
767,2016,2,Power Unit,131,1
768,2016,3,Finished,1,13
769,2016,3,+1 Lap,11,9
770,2016,4,Finished,1,5
771,2016,4,Collision,4,3
772,2016,4,+1 Lap,11,12
773,2016,4,+2 Laps,12,1
774,2016,4,Power Unit,131,1
775,2016,5,Finished,1,8
776,2016,5,Collision,4,2
777,2016,5,Engine,5,3
778,2016,5,+1 Lap,11,9
779,2016,6,Finished,1,7
780,2016,6,Accident,3,4
781,2016,6,Collision,4,1
782,2016,6,+1 Lap,11,5
783,2016,6,+2 Laps,12,2
784,2016,6,+4 Laps,14,1
785,2016,6,Retired,31,2
786,2016,7,Finished,1,7
787,2016,7,+1 Lap,11,5
788,2016,7,+2 Laps,12,7
789,2016,7,Retired,31,2
790,2016,7,Power Unit,131,1
791,2016,8,Finished,1,11
792,2016,8,Gearbox,6,1
793,2016,8,+1 Lap,11,6
794,2016,8,+2 Laps,12,1
795,2016,8,Suspension,22,2
796,2016,8,Brakes,23,1
797,2016,9,Finished,1,8
798,2016,9,+1 Lap,11,8
799,2016,9,Brakes,23,3
800,2016,9,Tyre,27,1
801,2016,9,Retired,31,1
802,2016,9,Battery,84,1
803,2016,10,Finished,1,10
804,2016,10,Gearbox,6,2
805,2016,10,+1 Lap,11,6
806,2016,10,Spun off,20,2
807,2016,10,Retired,31,1
808,2016,10,Power Unit,131,1
809,2016,11,Finished,1,6
810,2016,11,+1 Lap,11,11
811,2016,11,+2 Laps,12,4
812,2016,11,Oil leak,44,1
813,2016,12,Finished,1,7
814,2016,12,+1 Lap,11,9
815,2016,12,+2 Laps,12,4
816,2016,12,Suspension,22,1
817,2016,12,Power Unit,131,1
818,2016,13,Finished,1,15
819,2016,13,Accident,3,1
820,2016,13,Gearbox,6,1
821,2016,13,+1 Lap,11,2
822,2016,13,Puncture,29,1
823,2016,13,Collision damage,130,2
824,2016,14,Finished,1,10
825,2016,14,+1 Lap,11,7
826,2016,14,+2 Laps,12,1
827,2016,14,Oil leak,44,1
828,2016,14,Battery,84,1
829,2016,14,Collision damage,130,2
830,2016,15,Finished,1,10
831,2016,15,Collision,4,1
832,2016,15,+1 Lap,11,7
833,2016,15,+2 Laps,12,1
834,2016,15,Brakes,23,1
